id,name,calories,protein,carbs,fats,type,price,preferences
food1,Kak'ik,350,25,10,15,omnivore,medium,high_protein|traditional
food2,Jocon,400,20,20,18,omnivore,medium,traditional
food3,Hilachas,450,30,15,20,omnivore,high,high_protein
food4,Pepian,480,28,18,22,omnivore,high,spicy
food5,Tamales,300,10,40,10,vegetarian,low,gluten_free
food6,Chiles Rellenos,350,15,25,15,omnivore,medium,stuffed
food7,Tostadas,250,5,30,12,vegetarian,low,snack
food8,Paches,270,6,35,8,vegetarian,low,gluten_free
food9,Enchiladas,300,12,25,10,omnivore,medium,snack
food10,Pollo Guisado,420,32,10,18,omnivore,medium,high_protein
food11,Carne Asada,500,35,0,25,omnivore,high,high_protein
food12,Chirmol,100,2,10,5,vegan,low,salsa
food13,Tamalitos de Elote,200,4,35,6,vegetarian,low,sweet
food14,Rellenitos,250,4,40,10,vegetarian,low,sweet
food15,Fiambre,600,30,25,30,omnivore,high,holiday
food16,Caldo de Res,400,28,12,18,omnivore,medium,soup
food17,Caldo de Pollo,350,25,10,15,omnivore,medium,soup
food18,Tamal Negro,320,8,35,12,vegetarian,low,holiday
food19,Elote Loco,280,6,35,10,vegetarian,low,snack
food20,Empanadas de Manjar,230,4,30,8,vegetarian,low,sweet
food21,Yuca con Chicharrón,450,20,25,22,omnivore,medium,fried
food22,Pan con Pollo,400,22,35,15,omnivore,medium,street_food
food23,Plátanos en Mole,350,4,40,18,vegetarian,medium,sweet
food24,Chiles en Nogada,420,18,20,25,omnivore,high,stuffed
food25,Ceviche Chapín,300,20,10,10,omnivore,medium,seafood
food26,Shucos,550,22,40,30,omnivore,high,street_food
food27,Atol de Elote,180,3,35,5,vegetarian,low,drink
food28,Atol de Plátano,200,2,40,6,vegetarian,low,drink
food29,Champurradas,250,4,30,10,vegetarian,low,snack
food30,Pan de Banano,300,6,40,12,vegetarian,low,sweet
food31,Pupusas,320,12,30,15,vegetarian,medium,stuffed
food32,Tamalitos con Queso,290,10,30,8,vegetarian,low,gluten_free
food33,Queso Fresco,150,12,2,10,vegetarian,medium,dairy
food34,Huevos con Chirmol,280,14,10,18,omnivore,low,breakfast
food35,Ensalada Rusa,220,4,25,10,vegetarian,low,side
food36,Rábano con Sal y Limón,50,1,5,0,vegan,low,snack
food37,Guacamole,200,2,10,18,vegan,medium,dip
food38,Tostones,350,3,40,20,vegan,medium,fried
food39,Arroz con Leche,280,6,45,10,vegetarian,low,sweet
food40,Frijoles Volteados,200,10,20,6,vegan,low,side
food41,Plátanos Fritos,300,3,40,15,vegetarian,low,side
food42,Pepián de Pollo,380,28,15,16,omnivore,medium,spicy
food43,Carne en su Jugo,430,32,12,20,omnivore,high,soup
food44,Lengua en Salsa,460,35,5,25,omnivore,high,gourmet
food45,Tacos Guatemaltecos,350,20,25,15,omnivore,medium,street_food
food46,Fajitas de Pollo,400,30,10,18,omnivore,medium,high_protein
food47,Mole de Plátano,320,5,35,15,vegetarian,medium,sweet
food48,Pan Dulce,260,5,40,10,vegetarian,low,sweet
food49,Tamalitos de Chipilín,280,8,30,10,vegetarian,low,gluten_free
